Start... Grid search and Cross validation

LogisticRegression
params                                                                mean_test_score(%)
------------------------------------------------------------------  --------------------
{'C': 1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}                81.8972
{'C': 1, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}                82.3138
{'C': 1, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}                    82.7394
{'C': 1, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}                82.7394
{'C': 1, 'max_iter': 300, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 1, 'max_iter': 300, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 1, 'max_iter': 300, 'penalty': 'l1', 'solver': 'liblinear'}                81.8972
{'C': 1, 'max_iter': 300, 'penalty': 'l2', 'solver': 'newton-cg'}                82.3138
{'C': 1, 'max_iter': 300, 'penalty': 'l2', 'solver': 'lbfgs'}                    83.5904
{'C': 1, 'max_iter': 300, 'penalty': 'l2', 'solver': 'liblinear'}                82.7394
{'C': 1, 'max_iter': 500, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 1, 'max_iter': 500, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 1, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}                81.8972
{'C': 1, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg'}                82.3138
{'C': 1, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.4628
{'C': 1, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}                82.7394
{'C': 1, 'max_iter': 600, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 1, 'max_iter': 600, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 1, 'max_iter': 600, 'penalty': 'l1', 'solver': 'liblinear'}                81.8972
{'C': 1, 'max_iter': 600, 'penalty': 'l2', 'solver': 'newton-cg'}                82.3138
{'C': 1, 'max_iter': 600, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.4716
{'C': 1, 'max_iter': 600, 'penalty': 'l2', 'solver': 'liblinear'}                82.7394
{'C': 1, 'max_iter': 700, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 1, 'max_iter': 700, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 1, 'max_iter': 700, 'penalty': 'l1', 'solver': 'liblinear'}                81.8972
